Total, Total
Order, Pedido
Sku, SKU
Continue to shipping, Continuar comprando
Continue shopping, Continuar comprando
Continue Shopping, Continuar comprando
CONTINUE SHOPPING, CONTINUAR COMPRANDO
Shopping cart, Carrito
Product, Producto
Price, Precio
Quantity, Cantidad
Remove, Eliminar
Qty, Cantidad
Sub total, Total
Discount(${coupon}), Descuento(${coupon})
Order summary, Resumen del pedido
Taxes and shipping calculated at checkout, Impuestos y gastos de envío seran calculados en caja 
CHECKOUT, PAGAR
Change, Cambio
Payment Method, Modo de pago
Shipping Method, Método de envío 
No payment methods available, Métodos de pago no disponible
Place Order, Hacer un pedido
My billing address is same as shipping address, Mi dirección de facturación es la misma que la de envío.
${count} items, ${count} productos
Discount, Descuento
Shipping, Envío
No tax, sin IVA
Tax, IVA
Sorry, there is no available method for your address, Lo sentimos, no hay método de envío disponible para su dirección
Please enter a shipping address in order to see shipping quotes, Porfavor introduzca una dirección para calcular su precio de envío
Continue to payment, Continuar con el pago
No payment method available, Método de pago no disponible
Ship to, Enviar a
Shipment, Envío
Thank you ${name}!, Gracias, ${name}!
Contact information, Información de contacto
Order #${orderNumber}, Orden #${orderNumber}
ADD TO CART, AÑADIR AL CARRITO
Please select variant options, Seleccione opcion
VIEW CART (${count}), VER CARRITO (${count})
JUST ADDED TO YOUR CART, RECIEN AÑADIDO A TU CARRITO
Promotion code?, Código de descuento?
Enter coupon code, Introduzca su código de descuento
Apply, Aceptar
Your cart is empty!, Su carrito esta vacío！
